undersampling_ratio,accuracy,sd_accuracy,precision,sd_precision,recall,sd_recall
0.1,0.9158092695236135,0.004248483147964764,0.7012987012987014,0.27092789216426594,0.0691026827012026,0.0255955179845227
0.2,0.9014703174087314,0.0044488122168329985,0.3386422292304645,0.044883297391695116,0.1641073080481036,0.0363145997514126
0.3,0.8783105168165903,0.0042002169007206176,0.2772561176605666,0.02194354336209082,0.26743755781683626,0.04139765579408879
0.4,0.849254854255555,0.014237229546952003,0.24275892554530326,0.015036199564762223,0.3582793709528215,0.05859100563722337
0.5,0.8077166885812564,0.002761350716326007,0.2010002023960244,0.020612770441493553,0.427104532839963,0.08113633713540806
0.6,0.7720338776698779,0.02333697133699774,0.1737075754292424,0.01821790220809897,0.44449583718778907,0.08420774000431873
0.7,0.7224392367063912,0.03924472334526478,0.15675649377502515,0.017964791017993427,0.5086031452358927,0.08660181162296589
0.8,0.6856588837572637,0.045763923969737684,0.14542099574261574,0.014990077490968855,0.5434782608695652,0.07825780780997757
0.9,0.6529395452995937,0.021868766421186663,0.13733588905510358,0.01804098922888059,0.5824236817761332,0.09292016862658772
1.0,0.6378653239135382,0.025068640774586076,0.14134570151222958,0.013562700019505767,0.6377428307123034,0.061444665316018124
