variance_threshold,accuracy,sd_accuracy,precision,sd_precision,recall,sd_recall
0.0,0.6095463145722582,0.028974691669509826,0.12216866682270724,0.011972196527381887,0.5867715078630897,0.1278921716980068
0.01,0.6187618132558919,0.020722565527409705,0.13241136971223214,0.01529397269963514,0.6248843663274746,0.0796838676715621
0.05,0.617275657462539,0.030406053504734343,0.1306288223897492,0.012805818615506524,0.6120259019426457,0.036604470533701104
0.1,0.6271906899766344,0.014952109164787172,0.13988080734442138,0.005945657168729854,0.655504162812211,0.05587250580988876
0.2,0.604770243415933,0.019569359372441614,0.13113364322741322,0.012074823653272823,0.651063829787234,0.10649899156321457
0.5,0.6286700601980363,0.016869455328747774,0.13768735931948367,0.007595496614355268,0.6380203515263645,0.05945368442078055

