n_components_pca,accuracy,sd_accuracy,precision,sd_precision,recall,sd_recall
1,0.6279347958961577,0.042616634549710514,0.11671395711102717,0.01007423285291723,0.5178538390379279,0.11023691263900778
2,0.6176467221538117,0.030934032983992707,0.11471374312163918,0.014143316822321788,0.5268270120259019,0.11659691312188093
5,0.6165336224965936,0.018363247954775647,0.12961033815745038,0.004969696554698709,0.6122109158186864,0.05127972566471156
10,0.6143169219890298,0.02277619368801665,0.12793094682167064,0.009126468519056597,0.6083256244218317,0.08248351443623873
20,0.6099179892444584,0.02149387768018405,0.12415289013998124,0.013060345072839815,0.5910268270120259,0.08050038577773896
50,0.6228106703677974,0.022553881318550684,0.12636712713163878,0.013385734602969407,0.5777983348751157,0.0665467676407529
100,0.6400617372753755,0.014262439330629761,0.13653103808796915,0.01877715794128569,0.6078630897317299,0.10710386008917323
200,0.6231438690332436,0.03113531357530547,0.11717785550050194,0.016482895888260143,0.5214616096207216,0.07738226100641664
300,0.6444897490903706,0.009152964994296096,0.1316462598635937,0.014381763582260848,0.569472710453284,0.08644841413935023
